Year,January,February,March,April,May,June,July,August,September,October,November,December
2008,385,369,436,819,"2,027","6,149","7,463","3,088","1,756","1,507",878,398
2009,438,465,598,938,"2,292","7,244","7,650","3,271","1,558","1,192",843,414
2010,495,436,707,"1,144","2,281","6,129","4,478","2,038","1,318","1,190",691,329
2011,423,439,547,803,"2,021","6,332","6,222","2,502","1,415","1,299",891,517
2012,713,596,891,"1,265","2,454","5,537","4,678","2,136","1,386","1,212",871,401
2013,525,440,466,714,"1,694","6,517","8,277","3,508","1,887","1,496",777,313
2014,516,382,530,813,"1,967","6,237","6,940","3,017","1,610","1,337",816,336
2015,431,407,483,826,"2,072","7,341","7,719","2,967","1,691","1,395",903,470
2016,534,503,771,"1,009","2,168","6,622","6,305","2,631","1,592","1,454","1,042",487
2017,720,623,783,"1,181","2,784","7,159","7,874","3,389","1,810","1,497","1,005",469
2018,632,528,697,817,"2,069","5,533","4,893","2,349","1,469","1,484",741,358
2019,515,417,519,898,"2,067","5,042","6,142","3,055","1,633","1,355",699,301
2020,371,294,264,457,"1,015","3,120","2,818","1,228",687,641,364,220
Total,6698,5899,7692,11684,"26,911","78,962","81,459","35,179","19,812","17,059","10,521","5,013"
